loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2022-09-27T12:59:37.054+02:00,1,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.049154,3.764488220214844,-7.007822036743164,-45.99863433837891,355.1482238769531,351.6669006347656,12.27989864349365,21752.44500766667,0.0441741943359375,-0.560882568359375,-0.88018798828125,21752.43135766667,-0.06616064161062241,-0.1448370814323425,-0.06871648132801056,21752.41555166667,48.90576171875,-16.70083618164062,-86.26762390136719,21752.42763466667,-0.937642363511465,0.01734735727331103,0.605597794612069,-0.102474182844162,-0.1535031497478485,-0.07666275650262833,0.02359539270401001,-0.005361735820770264,-0.04728555679321289,XArbitraryCorrectedZVertical,0.2697490980929898,-0.1273432460806496,-0.428955469169443,0.8526525231074181,0.01426162198185921,-0.56925368309021,-0.8220382332801819,3.753810882568359,-7.0897216796875,-46.02681732177734,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21748.743111,0,-2.534058,80.50278,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.122+02:00,2,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.108866,3.092403411865234,-7.488367080688477,-45.94334411621094,355.3863220214844,351.9049987792969,12.2808198928833,21752.50457166667,0.0131683349609375,-0.57415771484375,-0.80517578125,21752.49092166667,0.1388734579086304,-0.2550714313983917,-0.009125853888690472,21752.47777766667,48.43862915039062,-16.81448364257812,-86.2645263671875,21752.48719866667,-0.9393522772155743,0.009099400266198923,0.6106574251515557,0.1476747095584869,-0.2534808218479156,-0.00227618683129549,0.01103883981704712,0.00431448221206665,0.008980274200439453,XArbitraryCorrectedZVertical,0.2700166518047241,-0.1321830888254016,-0.4304400474549958,0.8510815913753476,0.007454773876816034,-0.5734062194824219,-0.8192372918128967,3.151271820068359,-7.295997619628906,-45.96372222900391,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21748.743111,0,-2.534058,80.50278,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.174+02:00,3,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.168362,2.200355529785156,-7.438959121704102,-46.06254577636719,355.8397827148438,352.3584594726562,12.28184509277344,21752.56413566667,-0.0430145263671875,-0.5804901123046875,-0.8175811767578125,21752.55048566667,-0.03164074942469597,-0.4375046193599701,-0.03368233144283295,21752.54001066667,47.501220703125,-16.95393371582031,-86.57357788085938,21752.54676266667,-0.9399150128982228,-0.01151549528233547,0.6135945884475706,-0.02866776287555695,-0.4451201558113098,-0.02240099012851715,-0.01031500101089478,-0.003337204456329346,0.02633053064346313,XArbitraryCorrectedZVertical,0.2667756250752887,-0.1416549509597273,-0.4332461688328086,0.8491538915888232,-0.009414670988917351,-0.5758100748062134,-0.8175292611122131,2.384662628173828,-7.393522262573242,-46.13027191162109,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.244+02:00,4,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.228129,1.344192504882812,-7.329547882080078,-45.94876098632812,356.3411560058594,352.8598327636719,12.28275108337402,21752.62369966667,-0.04339599609375,-0.57373046875,-0.8224334716796875,21752.61004966667,0.004514058120548725,-0.1523831486701965,-0.05076197907328606,21752.60224366667,46.43513488769531,-17.02458190917969,-86.47825622558594,21752.60632666667,-0.9440513343264086,-0.02854194675736858,0.6121308190411898,0.0007564382394775748,-0.1672840118408203,-0.04582828283309937,-0.01488226652145386,0.001797795295715332,-0.01868462562561035,XArbitraryCorrectedZVertical,0.2621463528589129,-0.1491080886106614,-0.4373457605984854,0.8472158665725785,-0.02335628494620323,-0.5746126770973206,-0.8180921077728271,1.307178497314453,-7.435977935791016,-46.03489685058594,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.293+02:00,5,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.287648,1.080570220947266,-7.415185928344727,-46.01699066162109,356.6264038085938,353.1450805664062,12.2832727432251,21752.68326366667,-0.0357666015625,-0.5769805908203125,-0.8173828125,21752.66961366667,0.02581135742366314,-0.02183712273836136,-0.06780008971691132,21752.66447166667,46.1890869140625,-16.96527099609375,-86.15794372558594,21752.66589066667,-0.9481089009881495,-0.0322580956742687,0.6133512672376137,0.02669474482536316,-0.03171170502901077,-0.06283117085695267,-0.01780059933662415,0.0022163987159729,-0.00748521089553833,XArbitraryCorrectedZVertical,0.2615459816579155,-0.1514748260982144,-0.4394737937148293,0.8458793016342891,-0.02637363038957119,-0.5756111145019531,-0.8172981739044189,1.069229125976562,-7.441398620605469,-45.82389068603516,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.365+02:00,6,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.34718,0.9456901550292969,-7.35075569152832,-45.94080352783203,356.9367370605469,353.4554138183594,12.28141784667969,21752.74282666667,-0.0548553466796875,-0.560150146484375,-0.7973175048828125,21752.72917666667,-0.02433543279767036,-0.1065693199634552,-0.1130197644233704,21752.72670566667,46.193115234375,-17.03141784667969,-86.56498718261719,21752.72545366667,-0.9525205754663594,-0.0330279932000863,0.6138266339798231,-0.01712394319474697,-0.1028425395488739,-0.1028035879135132,-0.02690026164054871,0.008815407752990723,0.02040368318557739,XArbitraryCorrectedZVertical,0.2612431867340535,-0.152479422568529,-0.4414095292678375,0.8447837747691567,-0.02699382044374943,-0.5759997367858887,-0.8170040249824524,1.035587310791016,-7.461860656738281,-46.05477905273438,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.412+02:00,7,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.406593,0.6035041809082031,-7.405561447143555,-45.95741271972656,357.4754638671875,353.994140625,12.28001976013184,21752.80239066667,-0.0702667236328125,-0.5134124755859375,-0.7705078125,21752.78874066667,-0.06238135322928429,-0.3174328207969666,-0.04981469362974167,21752.78893866667,45.77598571777344,-16.97013854980469,-86.38957214355469,21752.78501766667,-0.9598855994448861,-0.0395085507669958,0.6109283004212733,-0.0593707337975502,-0.2819827198982239,-0.0526372529566288,-0.01854971051216125,0.03233790397644043,0.009089410305023193,XArbitraryCorrectedZVertical,0.2580087880656747,-0.155541448937476,-0.4455372480060218,0.843050885592161,-0.03235366195440292,-0.5736280679702759,-0.8184766173362732,0.6301345825195312,-7.377588272094727,-45.930908203125,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.471+02:00,8,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.466276,-1.558326721191406,-6.819889068603516,-46.15730285644531,358.9808959960938,355.4995727539062,12.2806282043457,21752.86195466667,-0.2266082763671875,-0.450836181640625,-0.8252716064453125,21752.84830466667,-0.3788194954395294,-1.076539397239685,-0.3281440436840057,21752.85117066667,43.42924499511719,-16.32606506347656,-86.64701843261719,21752.84458166667,-0.9701646350864992,-0.07442620800391582,0.5995216870452311,-0.3719231784343719,-1.04537832736969,-0.2950751781463623,-0.1232261657714844,0.099190354347229,0.03834682703018188,XArbitraryCorrectedZVertical,0.2444708311549284,-0.1690384868895916,-0.4548987458336524,0.8394802087361517,-0.0613899789750576,-0.5642476677894592,-0.8233200311660767,-1.066917419433594,-6.938709259033203,-45.98612213134766,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.531+02:00,9,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.525945,-4.899360656738281,-5.761625289916992,-46.09087371826172,2.242261409759521,358.7609252929688,12.28168106079102,21752.92151866667,-0.24761962890625,-0.48199462890625,-0.780548095703125,21752.90786866667,-0.4239496886730194,-1.496930360794067,-0.6508491635322571,21752.91340166667,40.02606201171875,-15.20866394042969,-86.53961181640625,21752.90414566667,-1.008277251478277,-0.12495775988415,0.5804176109028647,-0.403109073638916,-1.439708113670349,-0.6212620735168457,-0.0917312428355217,0.08966362476348877,0.01846474409103394,XArbitraryCorrectedZVertical,0.2211636927502001,-0.190341456923572,-0.4775950946179542,0.8287095139809993,-0.1042221635580063,-0.5483732223510742,-0.8297135233879089,-4.251735687255859,-6.029094696044922,-46.022705078125,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.590+02:00,10,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.585437,-9.826313018798828,-4.363687515258789,-45.36061096191406,7.278118133544922,3.796781778335571,12.28279113769531,21752.98108266667,-0.2461090087890625,-0.5185546875,-0.8724365234375,21752.96743266667,-0.6153132319450378,-1.718332529067993,-1.042401671409607,21752.97563266667,35.06575012207031,-13.77838134765625,-85.63845825195312,21752.96370966667,-1.07341987852694,-0.1942739573928111,0.5545474920643855,-0.6316474080085754,-1.739686489105225,-1.022810697555542,-0.1256415694952011,0.01853263378143311,-0.04547739028930664,XArbitraryCorrectedZVertical,0.1864421617093965,-0.2194682388729829,-0.5122788349780434,0.8091002307582903,-0.1641228646039963,-0.5265586376190186,-0.8341460227966309,-9.094825744628906,-4.712456703186035,-45.72198486328125,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
2022-09-27T12:59:37.650+02:00,11,1664276376.999799,46.48920791806169,9.902590468867249,1817.484,0,1.328818,6.291555892151534,180,3.450751151541866,4.68154392512997,-9999,1664276377.64503,-13.53244209289551,-4.014483451843262,-44.47635650634766,12.59868240356445,9.11734676361084,12.28397846221924,21753.04064666667,-0.1560211181640625,-0.52581787109375,-0.6920928955078125,21753.02699666667,-0.3350387215614319,-1.752041459083557,-1.009850978851318,21753.03786066667,30.39482116699219,-13.57940673828125,-84.48109436035156,21753.02327366667,-1.152308174899079,-0.2499219425313513,0.54244666873369,-0.3122600317001343,-1.711092114448547,-1.006896734237671,0.04812759160995483,-0.01062244176864624,0.05946934223175049,XArbitraryCorrectedZVertical,0.1574883171552823,-0.2455147903678871,-0.5487949681035726,0.7834181642028233,-0.211823895573616,-0.516232967376709,-0.829839825630188,-12.72658538818359,-3.970451354980469,-44.54618072509766,-1,2,21740.6016645,walking,2,2022-09-27T12:59:25.211+02:00,2022-09-27T12:56:30.177+02:00,339,0.7760836,0,0,224.0743,0,2,2022-09-27T12:59:35.377+02:00,21749.804946,0,-2.55249,80.50295,1664276377.034875,0.0.0.0,10.176.130.227,nz_iOS_device,0,1,1664276377.015594,1,0.42,0
